2020-12-23 00:23:22 INFO  BankService:810 -  LOG: Account changed its status successfully
2020-12-23 00:24:35 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:39:36 INFO  BankService:596 -  LOG: Transfer was done and saved into Database successfully
2020-12-23 00:39:42 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:41:43 INFO  BankService:340 -  LOG: New customer account has been created successfully
2020-12-23 00:42:22 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:44:28 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:45:42 INFO  BankService:765 -  LOG: Account was updated successfully
2020-12-23 00:50:50 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:51:36 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:52:18 INFO  BankService:596 -  LOG: Transfer was done and saved into Database successfully
2020-12-23 00:52:21 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:52:53 INFO  BankService:596 -  LOG: Transfer was done and saved into Database successfully
2020-12-23 00:52:55 INFO  BankService:223 -  LOG: All Accounts were listed from Database successfully
2020-12-23 00:58:53 INFO  BankService:227 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:29:24 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:30:47 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:34:49 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:36:13 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:37:28 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:38:05 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:38:53 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:42:38 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:44:28 INFO  BankService:359 -  LOG: New customer account has been created successfully
2020-12-23 09:44:49 INFO  BankService:385 -  LOG: Successful customer login into Database
2020-12-23 09:46:57 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:47:34 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:52:05 INFO  BankService:242 -  LOG: All Accounts were listed from Database successfully
2020-12-23 09:59:32 INFO  BankService:385 -  LOG: Successful customer login into Database
